Unique ID	Post	Labels Set		
233	"LG और केंद्र के आदेश को लागू किया जाएगा।   हमें एक दूसरे से नहीं, मिलकर कोरोना से लड़ना है। https://t.co/KX2Iu0Zfww"	non-hostile		
235	"गणित की मुश्किलों को आसान बनाने वाले प्रयागराज के इस टीचर को मिलेगा राज्य शिक्षक पुरस्कार

https://t.co/AwWk2Yfpac"	non-hostile		
236	#UttarPradesh : #Agra के सिकंदरा इलाके में एक केमिकल फैक्ट्री में आग लगी। अब तक किसी के हताहत होने की सूचना नहीं है। https://t.co/MZveCrRppV	non-hostile		
237	NEET/JEE और NDA के परीक्षार्थियों के लिए बिहार में पूर्व मध्य रेलवे चलाएगा 7 इंटरसिटी ट्रेनें। 4 सितंबर से 15 सितंबर के बीच चलेंगी ट्रेनें। https://t.co/FXJrR3h0ZC	non-hostile		
238	"केंद्र सरकार ने लॉकडाउन के दौरान लोगों की नौकरी बचाने या नौकरी देने के लिए जो शानदार कदम उठाए हैं, उन कदमों  के बारे में जानने के लिए इस ट्वीट के रिप्लाई में 'विश्वगुरु' लिखिए. 

आपको सरकार के उठाए कदमों की एक लंबी लिस्ट दिखने लगेगी."	hate		
239	"कल, @UPSRTCHQ द्वारा संचालित 5,130 बसों के माध्यम से 6.37 लाख लोगों ने यात्रा की: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी

@ShishirGoUP"	non-hostile		
240	"क्या एंटीवायरल दवाएं लेकर कोरोना से बचा जा सकता है?
 
#IndiaFightsCorona #COVID19 
@PIB_India @PrakashJavdekar @shashidigital https://t.co/JNoEGuaTZY"	non-hostile		
241	"कैलिफ़ोर्निया में सुशांत के लिए निकली ‘सत्याग्रह’ कार रैली, बहन श्वेता ने की प्रार्थना
https://t.co/RH1aRpC5g0"	non-hostile		
243	"मै भाजपा का कार्यकर्ता नहीं हूं,लेकिन फिर भी मोदी जी मेरा मान है,योगी जी सम्मान है,और अमित जी अभिमान है,और मै अपने मान, सम्मान,अभिमान को कभी झुकने नहीं दूंगा।"	hate		
244	"वोडाफोन-आइडिया (Vodafone-Idea) ने नया ब्रांड वीआई (VI) को लॉन्च किया।

https://t.co/zbhvrNShIc"	non-hostile		
245	"क्रोनोलॉजी समझिए,

18 बर्षीय रामभक्त गोपाल के बाप की मौत 20 साल पहले हो चुकी है ।
देश की मीडिया #देशद्रोही_मीडिया  दिल्ली पुलिस #गोपाल_हिंदुत्वआतंकवादी #गोपाल_हिंदुत्व_आतंकवादी #गोपाल_शर्मा #गोपाल_आतंकवादी"	hate		
247	"योगी आदित्यनाथ के राज में उत्तर प्रदेश में अपराध कम हुए हैं या बढ़ गए?
स्टोरी और आवाज़: समीरात्मज मिश्र, बीबीसी हिंदी के लिए https://t.co/nnmrzCpVBE"	non-hostile		
248	"आज सुबह सीहोर जिले की इछावर विधानसभा के चेनपुरा, नाप्ली , भड़ेली गावों में आक्सीजन जांच अभियान चलाया गया और प्रत्येक गांव में उसी गांव के निवासियों को पार्टी के तरफ से आक्सिमत्र की जिम्मेदारी भी प्रदान की गई।
.@AapKaGopalRai .@AamAadmiParty 
.@AnkushNarang_  .@AAPMPOfficial https://t.co/NvWFbCkG27"	non-hostile		
249	"दोनों खबरों को देखिए।
जब लालू यादव जी ने अपने घर में दो मोर पाले थे तो गोदी मीडिया ने पशु-पक्षी विरोधी घोषित से लेकर संरक्षित पक्षी है क्या न कहा? इस उल्लंघन पर क़ैद &amp;जुर्माना सब कहा। मोदी जी मोर को दाना खिला रहे हैं तो उन्हें पक्षी प्रेमी बता रहे हैं। हमारे यहाँ दो दुनिया है । https://t.co/GKBOLp9MeS"	non-hostile		
250	"पांच महीने के बाद आज से पटरी पर दौड़ेगी मेट्रो, मास्क-सोशल डिस्टेंसिंग का रखना होगा ध्यान
https://t.co/Gpd9AK8SS6"	non-hostile		
251	"नहीं रहे प्रणब मुखर्जी, आज दिल्ली में होगा अंतिम संस्कार
#Morningnews  #PranabMukherjee #PranabDaLastRites https://t.co/usYI7ayR24"	non-hostile		
252	"अब जापान ने दिया चीन को झटका, कामकाज भारत शिफ्ट करने वाली कंपनियों को देगा इन्सेंटिव
https://t.co/vbcdh8J58U via @NavbharatTimes"	non-hostile		
253	"टैंक गेम्स में सामने आई चीनी टैंक की असलियत
#IndiaChinaFaceOff 

https://t.co/whVAmd9v4d"	non-hostile		
254	"खादी के मास्क की लोकप्रियता बढ़ी;  केवीआईसी को रेड क्रॉस सोसाइटी से 10.5 लाख फेस मास्क के लिए अब तक का सबसे बड़ा ऑर्डर मिला

विवरण : https://t.co/TbmfvQZD9N

@kvicindia https://t.co/HqmwnAmQXE"	non-hostile		
256	"जम्मू कश्मीर के रियासी जिले में बैक टू विलेज प्रोग्राम के तहत अब सरकार की मदद से वहां के किसान, लेमन ग्रास की खेती कर हर साल लाखों का मुनाफा कमा रहे हैं, आखिर कैसे, देखिये रियासी से हमारे संवादाता अभिषेक सिंह की ये खास रिपोर्ट

https://t.co/fQirpzX3EF

#JammuKashmir https://t.co/xDo4QeW31f"	non-hostile		
257	"प्रदेश में सर्विलांस टीमों के द्वारा  82,869 क्षेत्रों में 3,04,604 टीम दिवस के माध्यम से 2,06,25,103 घरों के 1,03,36,35,515 लोगों का सर्वेक्षण किया गया है: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP"	non-hostile		
258	"Silver Price Today: पहले बढ़ी फिर तेजी से गिरने लगी चांदी की कीमत, पहुंची लाल निशान के नीचे
https://t.co/YCX7jFR9XK via @NavbharatTimes 
#Silver #SilverPrice https://t.co/08zPUqWEwu"	non-hostile		
259	".@ECISVEEP ने #PranabMukherjee के निधन पर शोक व्यक्त किया 

विवरण : https://t.co/6X2VHW1Zf6"	non-hostile		
260	"भारत ने पिछले 24 घंटों में 65,081 रिकवरी (ठीक होने की दर) दर्ज की जबकि 69,921 नए मामले दर्ज किए गए

पिछले 24 घंटों में, 819 मौतें रिपोर्ट की गईं: https://t.co/WjQxyJHPwF

@PMOIndia @MoHFW_INDIA @drharshvardhan @PrakashJavdekar @PIBHindi @DDNewsHindi @AIRNewsHindi"	non-hostile		
261	"बैंकिग सिस्टम में इस समय बैंकों का कुल बकाया कर्ज 100 लाख करोड़ रुपये के स्तर पर है.
#HindiNews 
https://t.co/AvWQ7l7kA8"	non-hostile		
262	"देश में इस साल अगस्त में सामान्य से 27 प्रतिशत अधिक बारिश हुई है।
#Rain #WeatherUpdate 

https://t.co/dqBuJAhoGA"	non-hostile		
265	"भारत Vs न्यूजीलैंड मैच देखने के दौरान शख्स को आया हार्ट अटैक, हुई मौत
https://t.co/9CE97KHFc3 https://t.co/umZXJIpGOG"	non-hostile		
266	"अब आत्महत्या के लिए उकसाने को लेकर जांच करेगी CBI

#CBIUpdates #SushantSinghRajput 

https://t.co/brglsnzt0I"	non-hostile		
267	"मोदी जी ने लाल किला से कहा कि भारत क्या कर सकता है वो लद्दाख में दिखा। 20 सैनिक शाहिद हुए &amp; चीन घुसा हुआ है, तो क्या दिखा? दुनिया मे मोदी जी जैसा व्यक्ति न हुआ  होगा जो दिन को रात कहे &amp; लोग मान जाए। इस देश का भविष्य अंधकार में है ।
@INCIndia"	non-hostile		
268	"#Covid19 पर अपडेट्स 

नए मामले, ठीक होने की दर (रिकवरी) और मौत पर राज्यों/केंद्र शासित प्रदेशों के आंकड़ें

विवरण : https://t.co/joxnjG6MRS"	non-hostile		
269	"सुबह सवा 10 बजे से 11 बजे तक अन्य गणमान्य व्यक्ति श्रद्धा सुमन अर्पित कर सकते हैं, 11 बजे से 12 बजे के बीच आम जनता श्रद्धा सुमन अर्पित कर सकेंगे

#PranabMukherjee"	non-hostile		
271	जैसा कि कल बताया गया कि भारतीय सेना ने इस भड़काऊ कार्रवाई पर प्रतिक्रिया दी और देश के हितों को देखते हुए रक्षात्मक कदम उठाएः विदेश मंत्रालय (पैंगोंग सो में हालिया झड़प पर)	non-hostile		
272	गिरती अर्थव्यवस्था और बढ़ती बेरोजगारी https://t.co/ZenHaC3Lab	non-hostile		
273	"पुलिस द्वारा चालान काटने पर मुसलमानो ने उनकी पिटाई की । जो कानून को चुनौती है । यह विडियो बताता है कि आगे हिन्दुस्तान मे क्या क्या होगा। कौन देश चलायेगा । और सबका भविष्य क्या होगा कडवा सच यह है कि  देश को बाहर से ज्यादा अन्दर से बहुत ज्यादा खतरा है
 #UnitedHindu"	hate		
275	"भाजपा नेता संजीव गुप्ता &amp;भतीजे सचिन गुप्ता पर STF ने  गजरौला , उप्र पर छापा मारा &amp; 70
करोड़ तक की NCERT की नक़ली किताबें मिल चुकी हैं ।अब तक लगभग 500 करोड़ तक की किताबें छाप चुकें हैं ।भक्तों का काम यही है ।
@INCIndia https://t.co/r1RnuvDThl"	non-hostile		
277	श्रमिकों के लिए समर्पित प्रदेश सरकार द्वारा कोरोना महामारी में राहत प्रदान करते हुए 53 लाख से अधिक श्रमिकों को ₹01 हजार भरण-पोषण भत्ता दिया गया। https://t.co/o7mXnmQulJ	non-hostile		
278	5 महीने हो गए इन साधु की हत्या हुई .. आज तक कोई कार्यवाही नहीं हुई .... देश का इंसाफ़ सिर्फ़ फ़िल्मी सितारों के लिए है क्या	hate		
280	"इंटरनेट प्रॉब्लम के चलते भारत और रूस को संयुक्त रूप से चेस ओलंपियाड का चैंपियन घोषित कर दिया गया है. पहली बार इस ओलंपियाड को ऑनलाइन आयोजित किया गया था. इससे पहले भारत ने कभी भी ओलंपियाड नहीं जीता था. @FIDE_chess
https://t.co/LqdD7hKxxQ"	non-hostile		
282	"#DDNews के विशेष बुलेटिन 'एक्सप्रेस न्यूज़' में सिर्फ़ आधे घंटे में देश-दुनिया की 100 ख़बरें

WATCH: https://t.co/hGKCIxeyo0 https://t.co/CVXwRHsFP7"	non-hostile		
283	"साहब कश्मीरी मुसलमानों पर ज़ुल्म बंद कीजिए,"	hate		
284	"टेलीकॉम कंपनियों को सुप्रीम कोर्ट से बड़ी राहत, सुप्रीम कोर्ट ने बकाया AGR जमा करने के लिए 10 साल का वक्त दिया, टेलीकॉम कंपनियों को बकाये का 10 फीसदी 31 मार्च 2021 तक चुकाना होगा

#SupremeCourt https://t.co/fWAbt5G3zW"	non-hostile		
285	"#Mahoba 8 दिनों से घर से लापता युवक का कुएं में मिला शव, परिजनों ने जताई हत्या की आशंका, परिजनों ने कोतवाली में की थी शिकायत, कुलपहाड़ क्षेत्र के भटेवरा गांव का मामला. @mahobapolice #TeachersDay2020 #5Baje5Minutes #policemedianews"	non-hostile		
286	"गिन्नी वेड्स सनी' में यामी गौतम के साथ नज़र आएंगे विक्रांत मेस्सी 

https://t.co/EHP2KzoQx3

#GinnyWedsSunny @yamigautam @masseysahib"	non-hostile		
289	"उस जिहादन हीर खान के हिन्दू देवताओं को गाली देने से अभी तक कुछ खतरे में नही आया है ,, लेकिन अगर किसी ने मोहम्मद, आयशा, फ़ातिमा, मरियम, 
इनका नाम भी ले लिया तो संविधान से लेकर मुसलमान ,, धर्मनिपेक्षता,, सब खतरे में आ जायेगा,"	hate		
290	"रविन्द्र सिंह यादव के खिलाफ विभागीय जांच शुरू, शुकुलपुर छतार गांव के जयचंद पुत्र छोटू ने की थी शिकायत, आरोपी आरक्षियों ने परिवारिक विवाद में पीड़ित जयचंद को थाने बुलाया @pratapgarhpol @PratapGarhSP @Uppolice #policemedianews"	non-hostile		
292	"नई शिक्षा नीति, 2020 पर क्या बोले प्रधानमंत्री नरेंद्र मोदी https://t.co/zT99sKvLGV"	non-hostile		
293	"#SaathNibhanaSaathiya2 के नए प्रोमो पर मीम्स बन रहे हैं। देखिए...

https://t.co/4P0ZIWJzxb"	non-hostile		
294	"Reliance-Future deal: फ्यूचर ग्रुप के शेयरहोल्डर्स को इस डील से क्या मिला, जानें 
https://t.co/pxgWo2Tymx via @NavbharatTimes 
#BizBazaar #FutureConsumer #futureenterprises #FutureGroup #Reliance #RelianceRetail https://t.co/sQthfJTLW4"	non-hostile		
295	"देश की बेटी सुदीक्षा को इंसाफ दिलाने के लिए देशवासियों ने आरोपियों के खिलाफ कड़ी कार्रवाई की मांग की थी, इसी बीच ये खबर आई है.  पुलिस ने 2 गुनहगारों को गिरफ्तार कर लिया है और जिस बुलेट से टक्कर मारी गई थी, उसे भी बरामद कर लिया गया है
#JusticeForSudeeksha
https://t.co/HQQZuOYwhG"	non-hostile		
296	"देश के होनहार छात्रों, 
अपना भविष्य बनाने के लिये आवाज तो उठानी होगी."	hate		
297	"यूपी: बलरामपुर में खाना बनाते समय सिलेंडर में धमाका, बच्चे की मौत, दो घायल

https://t.co/6ageczi66w"	non-hostile		
299	"प्रदेश में हाॅटस्पाॅट वाली बस्तियों की अनुमानित जनसंख्या 82,45,558 के सापेक्ष 17,030 डोर-स्टेप डिलीवरी मिल्क बूथ/मैन के द्वारा दूध वितरित किया गया है: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी

@ShishirGoUP"	non-hostile		
300	"#AarPaar सेना का पराक्रम, चीन हुआ बेदम https://t.co/nPyNQDBV26"	non-hostile		
301	"बिहार चुनाव: नीतीश कुमार की पहली वर्चुअल रैली, बोले- कुछ लोग सिर्फ आलोचना करते हैं
#BiharElections2020 #nitishkumar @NitishKumar @yadavtejashwi
https://t.co/JJspVJBrHo"	non-hostile		
304	लगभग सभी राज्यों के मुख्यमंत्रियों एवं प्रशासनिक स्तर के उच्चाधिकारियों से हुई बातचीत के आधार पर मैं सभी अभ्यर्थियों एवं उनके अभिभावकों को आश्वस्त करता हूं कि उन्हें यथासंभव प्रत्येक सहायता प्रदान की जाएगी। आप सभी के उज्ज्वल भविष्य के लिए मेरी अग्रिम शुभकामनाएं!	non-hostile		
305	"#Kanpur : बिकरू कांड में Vikas Dubey के खजांची Jai Bajpai के तीनों भाइयों का सरेंडर|ABPGanga
https://t.co/TYVYFh2HQN
@AwasthiPrabhat"	non-hostile		
308	"कफील खान का भाषण हिंसा भड़काने वाला नहीं, एकता का संदेश: HC #KafeelKhan #HighCourt  https://t.co/hMGAHyKgy1"	non-hostile		
309	"कांग्रेस ने की संदीप सिंह के खिलाफ जांच की मांग, BJP से संबंध होने का लगाया आरोप
https://t.co/cNUyM7pwSe"	non-hostile		
310	"शिवराज सरकार का फैसला- कलेक्टर ही कहे जाएंगे जिलाधिकारी, नहीं बदलेगा पदनाम
#MadhyaPradesh 

https://t.co/lxgeiBHnnB"	non-hostile		
312	"मुंबई पुलिस अब रिया चक्रवर्ती को सुरक्षा देगी. पुलिस की गाड़ी उसे  एस्कॉर्ट करेगी. रिया की सुरक्षा के लिए सीबीआई ने मुंबई पुलिस को लेटर लिखा था. चिट्ठी में कहा है कि रिया जब भी घर से बाहर निकले तो उसे सुरक्षा दी जाए.

https://t.co/4YxNRlebqh"	non-hostile		
315	"डॉ. कफील खान को जेल से किया गया रिहा
#drkafeelkhan 

https://t.co/FveuE8t8i0"	non-hostile		
316	"पिछले कुछ ही घंटों में अभिनेता अर्जुन कपूर, पहलवान दीपक पूनिया और कांग्रेस नेता दीपेंद्र हुड्डा के कोरोना पॉज़िटिव होने की ख़बर आई है. 
https://t.co/bwoxcgCAOK

#coronaupdate https://t.co/aOsvgHgpYe"	non-hostile		
317	जिला कृषि विभाग द्वारा महेन्द्रगढ़ जिले के गांव निवाजनगर में किसान-वैज्ञानिक संवाद कार्यक्रम का हुआ आयोजन। डाॅ. राजपाल यादव ने किसानों को मिट्टी के नमूने लेेने का सही तरीका बताया और किसानों को खेत में खाद का प्रयोग मृदा स्वास्थ्य कार्ड के अनुसार करने के लिए जागरूक किया। https://t.co/aaCvyQ9ySu	non-hostile		
318	#PrashantBhushan  जाने-माने वकील प्रशांत भूषण को अवमानना में  सजा पर सुप्रीम कोर्ट का फैसला थोड़ी देर में आने वाला है।@JagranNews	non-hostile		
319	"आरोप है कि एक फ्रॉड ने व्यक्ति से तीन बार वन टाइम पासवर्ड (ओटीपी) लिया और अकाउंट से 1.61 लाख गायब हो गए. 

https://t.co/nf5i0c5gWw"	non-hostile		
322	"इयोन मॉर्गन ने उंगली टूटने के बावजूद खेलना जारी रखा, फैंस के दिल में बनाई जगह -
#ENGvAUS 

https://t.co/B0hTc4YeKR"	non-hostile		
323	"स्वस्थ बचपन, आजीवन स्वास्थ्य का आधार है।

अच्छा स्वास्थ्य समाज और व्यक्ति के जीवन को सुखी व समर्थ बनाते हुए राष्ट्र को विकसित व समृद्ध बनाता है। 

शिशु, बाल एवं किशोर स्वास्थ्य अभियानों में सभी अपनी-अपनी भागीदारी निभाएं।

यह पावन कार्य राष्ट्र, व्यक्ति और समाज के हित का कार्य है।"	non-hostile		
325	"84 साल के पूर्व राष्ट्रपति प्रणब मुखर्जी का निधन, 7 दिन का राजकीय शोक -
#PranabMukherjee 

https://t.co/PR1sXo3z6V"	non-hostile		
327	"#PranabMukherjee : अफजल-कसाब और याकूब की फांसी से लेकर इन फैसलों के लिए याद किए जाएंगे प्रणब मुखर्जी
https://t.co/a9gqw65tue"	non-hostile		
328	मुंबई के वडाला से चली श्रमिक स्पेशल ट्रेन में समाजवादी पार्टी के विधायक अबु आसिम आजमी की मौजूदगी में पाकिस्तान जिंदाबाद के नारे का विडियो वायरल हो रहा है।	hate		
329	"RT @ReshmaHindusta1: क्या अजब तस्वीर बना रखी है देश की,""

जो मज़लुम हैं उन्हे ज़ालिम ठहराया जाता है,
जो गुनहगार हैं उन्हे मज़लुम बताया जाता…"	hate		
330	"#IndiaFightsCorona

अपने हाथों को स्वच्छ रखें, सुरक्षित रहें! बदलकर अपना व्यवहार, करें कोरोना पर वार। 

#TogetherAgainstCovid19 https://t.co/m5IbrmPlD1"	non-hostile		
332	जेईई-एनईईटी: डरावने हालात में परीक्षा देने को मजबूर छात्रों की कहानी https://t.co/v9hCp43Dq1	non-hostile		
333	"आप किसी भी धर्म के बन सकते हो लेकिन
हिन्दू नहीं बन सकते..

क्योंकि हिन्दू बना नहीं जाता हिन्दू पैदा होना पड़ता है...!🚩💪"	hate		
337	"Exclusive: केंद्र ने मध्यप्रदेश से कहा- लॉकडाउन में बंटा चावल इंसान के लायक नहीं, जानवरों को खिलाएं
https://t.co/pWY4CM2HNg"	non-hostile		
339	"भाई जान तुम लोग का ये  हकीकत है तुम भाई जान कभी का भी हो ....पर तरीका ये ही है ..
#swedenriots #DelhiRiots"	hate		
341	"म्यांमार चुनाव को लेकर फेसबुक की तैयारी, गलत सूचनाओं पर होगा वार
#Myanmar #Election #Fackebook #FakeNews 
https://t.co/JxhRoZC7Hb"	non-hostile		
342	@News1IndiaTweet @amrohapolice @amrohapolice - कृपया वर्तमान स्थिति से अवगत कराएँ।	non-hostile		
343	"#KanganaRanaut को Y-सिक्योरिटी प्रदान करने पर शिवसेना नेता प्रियंका चतुर्वेदी ने नाराजगी जताई
https://t.co/M1bM81IuwK"	non-hostile		
345	"जिन लोगों को श्रीराम के अस्तित्व का ही भरोसा नहीं था, अब उन्हें श्रीराम की ताकत का अंदाजा हो रहा है। 

रोम की बात करने वाले भी अब 'राम-राम' की रट लगाने लगे हैं। यह लोग जान गए हैं कि अब 'राम-नाम' से ही वैतरणी पार होनी है।

श्रीराम का नाम हर स्थिति में कल्याणकारी है।

जय सियाराम! https://t.co/VePzs7hqbG"	non-hostile		
346	"सियासत के 'अजातशत्रु', कांग्रेस के लिए 'संकट मोचक' तो विपक्षी नेताओं के लिए 'मार्गदर्शक' थे प्रणब दा

#PranabMukherjee
#ripPranabMukherjee

https://t.co/f3SgTSbf4E"	non-hostile		
347	"आपराधिक घटनाओं को अंजाम देने के लिए भाड़े पर हथियार देने वाले गिरोह का पर्दाफाश, पुलिस ने कई सप्लायरों को दबोचा

#ABPBihar
https://t.co/c1IoRgP1VS"	non-hostile		
348	"#TaalThokKe Special Edition : न्यूज़ चैनल के नाम पर कब तक चलेगा 'थियेटर'?
#IndiaWithSushant @aditi_tyagi https://t.co/vUJ205tQeL"	non-hostile		
349	"RT @_Pb_swain_: जातिवाद में उलझते रहे इसलिए कांग्रेस व अन्य पार्टी देश को लूटते रहे,

अब जातिवाद छोड़कर हिंदू होकर वोट करें,
राष्ट्रवादी सर…"	hate		
351	"रिया और शोविक से चार घंटे तक पूछताछ हुई, पहले दौर की पूछताछ खत्म
#Sushantsinghcase #JusticeForSushant https://t.co/IWXLCAywYB"	non-hostile		
352	"#Shahjahanpur पुलिस और बदमाशों के बीच मुठभेड, 25 हजार का इनामी गिरफ्तार, आधा दर्जन से ज्यादा मुकदमों में था फरार, 4 पहिया वाहनों को रोककर करता था लूट, शाहजहांपुर, लखीमपुर पुलिस की संयुक्त कार्रवाई @shahjahanpurpol @Uppolice #SarvepalliRadhakrishnan #5Baje5Minute #policemedianews"	non-hostile		
353	"देश जातिवादी दंगे करवाने की कोशिस करता एक #ब्रहामण 
 https://t.co/vvShRV0ZiK"	hate		
354	"देशद्रोही मीडिया को नही दिखता की गलवान में फिंगर 8 से 4 तक चीन कब्जा कर बैठा है। अरुणांचल में आज 5 लोगों को चीनी अगुआ कर ले गए। सुशांत का आत्म हत्या ही राष्ट्र है।
@INCIndia"	non-hostile		
359	मप्र सरकार ने ग्वालियर के महाराजपुरा में 140 एकड़ जमीन डीआरडीओ को आंवटित करने का निर्णय लिया है। ग्वालियर के हित मे लिए गए इस निर्णय के लिए मुख्यमंत्री श्री @ChouhanShivraj जी का हृदय से धन्यवाद। सरकार के इस निर्णय के बाद अब ग्वालियर की किसी भी संपत्ति को नुकसान नही होगा।	non-hostile		
363	"मोदी जी ने इतना पुख़्ता काम कर दिया है कि अगली बार जो भी सत्ता में आएगा,
देश का कुछ नहीं बेच पाएगा ! "	hate		
364	"#Haryana में एक गैर सरकारी संस्था ने कुशल, अकुशल श्रमिकों के लिए एक मोबाइल ऐप्लीकेशन 'काम आया' लॉन्च किया है।

https://t.co/BfQZAorFd1"	non-hostile		
367	"देखिए अहम ख़बरें -

▪️ पूर्व राष्ट्रपति प्रणब मुखर्जी को दी गई अंतिम विदाई
▪️ पूर्व राष्ट्रपति प्रणब मुखर्जी को श्रद्धांजलि
▪️ विश्व के नेताओं ने प्रणब दा को किया याद
▪️ जेईई मेन्स की परीक्षा शुरू
▪️ कोविड-19: स्वस्थ होने की दर करीब 77%

➡️https://t.co/5UGN8XLGV3 https://t.co/jtPtZ22LZv"	non-hostile		
368	"टेलिकॉम कंपनियों को SC से राहत, मोबाइल टैरिफ पर क्या होगा इसका असर?
https://t.co/BpAOfElcyx via @NavbharatTimes 
#AGR #agrcase #AGRVerdict #agrdues #AGRhearing #SupremeCourt https://t.co/XLIVUpeWWL"	non-hostile		
371	"महाराष्ट्र के बाद अब मध्य प्रदेश में फ्लैट हुआ सस्ता, शिवराज सरकार ने घटाई स्टाम्प ड्यूटी की दरें -
#MadhyaPradesh 

https://t.co/eG2EYUB9d3"	non-hostile		
373	मप्र सरकार ने 6 अगस्त से प्रदेश में लागू हर रविवार को लॉकडाउन संबंधी आदेश आज निरस्त कर दिया है। अब रविवार को लॉकडाउन नहीं रहेगा।	non-hostile		
374	"फेसबुक का 'राजनीतिक भेदभाव', अब केन्द्रीय मंत्री रविशंकर प्रसाद का जकरबर्ग को लेटर, कहा- फेसबुक के कर्मचारी देते हैं PM मोदी को गाली   https://t.co/cb67c2C5ul via @NavbharatTimes"	non-hostile		
375	"तमिलनाडु के कुड्डालोर जिले में पटाखा फैक्ट्री में विस्फोट होने से सात लोगों की मौत हो गई है. चार लोग गंभीर रूप से घायल हैं. पुलिस के मुताबिक़, इस हादसे में पटाखा फैक्ट्री मालिक की भी मौत हो गई है. घायलों को नज़दीकी हॉस्पिटल में एडमिट कराया गया है. https://t.co/FXXMWUjELs"	non-hostile		
376	"बिहार के इस युवा वैज्ञानिक ने विदेश में लहराया भारत का परचम, कचरे से पेट्रोल बनाकर किया हैरान

#Bihar #Petrol

https://t.co/hRCGDtmxqp"	non-hostile		
379	"#IndiaFightsCorona

जब आप सार्वजनिक स्थानों पर थूकते हैं, तो आप दूसरों के स्वास्थ्य को भी खतरे में डालते हैं। थूकना वर्जित, स्वास्थ्य अर्जित। बदलकर अपना व्यवहार, करें कोरोना पर वार।

 #TogetherAgainstCovid19 https://t.co/cwYA8V9ltO"	non-hostile		
380	आज 3 बजे फ़ेस बुक और ट्विटर पर आप लोगों से बेरोज़गारी और गिरती अर्थव्यव्स्था पर चर्चा करूँगा । https://t.co/SNhrvmX6IM	non-hostile		
381	"एक यूज़र ने लिखा,

“सबसे गलत जानकारी हमेशा यही देते हैं.”

दूसरे ने लिखा,

“कोई माइंड मत करना, मैं बस वीडियोज़ को डिसलाइक करने की प्रैक्टिस कर रहा हूं.”

तीसरे यूज़र ने लिखा,

“हमें रोजगार चाहिए, जुमला नहीं.”
@sambitswaraj 
https://t.co/1MuPS3hhEd"	non-hostile		
383	चीनियों को ऐसी भारतीय इलीट फोर्स का सामना करना पड़ा जिसे अब तक चीनियों ने देखा ही नही था  ना ही चीनियों को कोई जानकारी ही थी अभी लड़ाई के समय ऐसी फोर्स निकलेगी जो सीधा बीजिंग में नजर आएगी..!!	hate		
384	"#Bareilly मॉब लिंचिंग मामले में 2 आरोपि़ों को पुलिस ने किया गिरफ्तार, 6 आरोपियों के खिलाफ पुलिस मे दर्ज किया मुकदमा, आंवला क्षेत्र में हुई थी मॉब लिंचिंग। @bareillypolice @Uppolice #policemedianews"	non-hostile		
386	"इस शिक्षा नीति में भारतीय भाषाओं, कला और संस्"	non-hostile		
389	"योगी जी ने न्याय करते समय कभी भी जाति और धर्म नहीं देखा जिसका जैसा अपराध उसको वैसी सजा
योगी राज में अब तक मारे गए 122 अपराधी, हुए कुल 6126 एनकाउंटर, ये योगी जी का सुशासन है,अपराधी तख्ती लगाकर घूम रहे हैं कि हमें बक्श दो,पहले अपराधियों को खुली छूट मिलती थी।"	hate		
390	"ये  वर्तमान कि सत्यता है कोरोना महामारी कि आड़ मे भ्रष्टाचार, अंग तस्करी चरम पर... https://t.co/d84QPyb7BY"	non-hostile		
392	"#CAA_NRC का विरोध करने वालों को दंगाईयों से क्यों जोड़ रही है #DelhiPolice #LG साहब जवाब दें।
#दंगों से जुड़ीं FIR कॉपियाँ आख़िर क्यों #DelhiPolice देना नहीं चाहती ? #LG साहब जवाब दें। https://t.co/eFzSqwHgKB"	non-hostile		
393	"#IPL2020 
@SDhawan25 ने कहा कोरोना से लड़ सकती है मेरी बॉडी

https://t.co/dWySOYn53t https://t.co/EuJmNv4EaO"	non-hostile		
394	लोकायुक्त की कार्रवाई: भोपाल में छापेमारी के दौरान लोकायुक्त पुलिस को चाय-समोसे खिलाते नजर आए खनिज अधिकारी प्रदीप खन्ना; बोले- असेसमेंट कर रहे हैं https://t.co/gbw8fuNMjW #PradeepKhanna #Bhopal @OfficeofSSC	non-hostile		
395	"स्कूल जाने वाले छात्र किस तरह की सावधानी रखें ?

#IndiaFightsCorona | #COVID19 

@PrakashJavdekar | @MIB_India | @PIB_India https://t.co/eom9I2kOHn"	non-hostile		
396	"शिक्षक दिवस पर जी5 ला रहा इस सीजन की सबसे अनोखी फिल्म, संगीत के शागिर्द सुनाएंगे पुराना किस्सा
#ZEE5 #AtkanChatkan #AtkanChatkanOnZee5 @ZEE5India @arrahman @SrBachchan 
https://t.co/SlXe24j9l8"	non-hostile		
397	"Y कैटेगरी की सिक्योरिटी के साथ मुंबई जाएंगी कंगना रनौत, संजय राउत से विवाद के बीच मोदी सरकार ने दी सुरक्षा

#KanganaRanaut #SanjayRaut https://t.co/gPrjclXnzW"	non-hostile		
