label	text
positive	"ach Kwink . Äusserlichkeit sein doch unwichtig , die Inhalt zählen doch ! schleimen %PosSmiley"
neutral	Timo Glocke verteidigen DTM keine Chaos hoch zehn
negative	Dramatisch : gigantisch Mac O X Sicherheitslücke
positive	sein auf jede Fall mal was neu %PosSmiley
negative	dies @card@ Punkt Gerede nerven jetzt schon %PosSmileyiese Austria werden in jede Cl Spiel ihr Chance bekommen . effizient sein dann gehen gegen jede was
neutral	Frankreich : bekannt Anwalt Vergès in Alter von 88 Jahr sterben
positive	"FCN Fan sein Freund , keine Futter !"
positive	"Test du mal franzferdinand : right thoughts , right words , right Action - vielleicht helfen die ja gegen die grau Wolke"
negative	"leider ja . dabei heute nur @card@ tippen , wollen die herzen ausschalten . fast haben ' s klappen"
positive	da sein die Mütze von %User bestimmen noch sauber . %PosSmiley
positive	Heja BVB ! bringen endlich Hofmann ! bvb siegen
neutral	AGAMA dewa Hitman Absolution - Complete Edition ab heute erhältlich
neutral	"wenn ich dies Sesamkorn von Big Mac Brötchen einpflanze , wachsen dann eine Big Mac Baum ? bitte sagen ja ."
neutral	"Kinderkanal : klein rot Traktor , NDR : Nordmagazin , Nick / CC : eine Hund retten Halloween , NTV : Nachricht , Phoenix : vor Ort"
neutral	Traumpartner suchen - die Suche nach die eigen Glück .
negative	scheinen in neu Google Maps nicht mehr zu gehen . : ’ ( / / @keanofcu
neutral	spannend Aufmacherthema : Unternehmen müssen zu content - Anbieter werden %User
positive	%PosSmiley viele Glück in zweit Leben dann %PosSmiley
positive	I'll clear my life schedule for you 3 %PosSmiley
neutral	"dellen : Gewinn implodiert + + Umsatz stagnieren , Kosten steigen"
neutral	was Dream Theater zu neu Album sagen erfahren ihr übrigens hier
negative	Bitte halt einfach die fressen ! schwiegertochtergesucht sg %User
neutral	Jason hart neu CEO bei Identive
positive	bei 40 Liter werden wohl eine Flasche übrigbleiben %PosSmiley ( in die nah 2 wochen )
neutral	"täschligate : Oprah Winfrey sagen "" Sorry , lieben Schweiz ! "" : "" aufblasen "" sein die Berichterstattung über ihr g ..."
neutral	"Aufgabe "" schnell Feuer "" abschließen %Link Android AndroidGames gameinsight"
neutral	"aktuell Thema aus unser Publikation "" LMZ "" @card@ @card@ : die Ackerfläche die Schweiz"
positive	wissen ihr was ?! nah Monat erscheinen GTAV GTA5 !
neutral	Annonces gratis für alle Angebot %Link Suisse Switzerland
negative	"you look pissed , dude !"
negative	"die Schinken wollen ich auch bestellen . mein Burberry Hemd sein seit Monat ( ! ) rückständig , aber bezahlen !"
neutral	SAP MM Berater ( w / m ) - SAP Materialwirtschaft Raum Kiel / Inhouse %Link Job Kiel
neutral	Last Hitler bodyguard Rochus mischen dies %Link history sein Nazi
negative	als Vorbild eine ganz Generation fehlen leider die richtig Umgangston . Imageberatung Zurückhaltung
positive	laufen. laufen ! müssen ! gehen ! marathontraining
neutral	"so viele Wirkung wünschen sich jede Regisseur . Orson Welles ' Hörspiel "" Krieg die Welt "" feiern sein @ord@ Geburtstag ."
neutral	"wenn man aufhören hinterher zu laufen , bleiben mehr Zeit für die was bleiben ."
positive	gut Morgen ! gemütlich Frühstück u dann los in die Tag %PosSmiley
neutral	einen Kurze gönnen .
neutral	Achtung Katzenhalter : in Salzburger Flachgau verschwinden immer mehr Katze !...
positive	vordergründig ... %PosSmiley
neutral	Kinderstiefel um @card@ Euro sein aber auch nicht gerade günstig 8) %User
positive	"Gestern werden in unser Bühnenbild eine "" klein "" Bodennebelmaschine einbauen ... rocken ! / / Our stage just got a ..."
neutral	download &amp; watch die Mann auf die Komet ( @card@ ) %Link movie
neutral	jede dritt Smartphone - Nutzer verraten sein Standort auf %Link
neutral	"nach 5 Jahr auch die letzt Band von Stephen King ' s "" die dunkel Turm "" beenden ... "" lang Tag und angenehm Nacht """
negative	"Pah , die sollen erst mal zusehen , dass ihr stud . Hiwis ihr Gehalt bekommen + dieHörsääle nicht ausein ..."
negative	"@card@ km , @card@ hm. duschen ich ! Knie schmerzen . Aua ! fertig ! Wasser ! Willinsbett mimimimi"
neutral	knackig Slogan suchen ! %Link . können wir vielleicht %User oder %User helfen ? followerpower ...
positive	die sein eine Herztweet . freuen ich sehr ♥ Glückwunsch zu dein @card@ ★ - Tweet !
neutral	cool Porsche @card@ Image - Check out These Porsche @card@ Image : Porsche @card@ GT3RS Image by ... %Link cool images Porsche
negative	"nett Versuch , aber : nein !"
neutral	"Bewegungskarten "" Bärenstark "" %Link therapiematerial"
neutral	"geil Frau : Gütersloh | hallo ich @card@ , @card@ rasieren schön Oberweite 75 c lang Bein sehr sportlich suchen g ..."
neutral	"VfL Wolfsburg : "" zuhause gegen Aal %Link Wolf Wolfsburg weben"
neutral	sicherlich jedoch wenige Absicht dahinter .
negative	"ich nicht ! denken doch mal nach , ok , is früh an Morgen , alle gut .. %PosSmileyAugenroll * die übernehmen Mutter Natur ..."
neutral	bitten du . Bezug übern . in Tweets sonst kön . neu ggfs keine INtr. fd BGE aufbringen &amp; . I loose Thread
positive	"%PosSmiley %PosSmiley %PosSmiley selten geil ! "" was ich bei Frau am wichtig sein :"
positive	Muss Frau tragen können . %PosSmiley
positive	nope stimmen nicht ( / . \ ) * wegschmelz *
positive	"Gamshufe : außenßen hart zu steigen , innen weich damit nichts rutschen . klasse Erfindung Alp"
positive	"Okay , die wiederrum sein eine problem. egal wann du die Vid hochlädst , ich werden ich so freuen ... ich brauchen die einfach ... %PosSmiley"
neutral	historisch Bewusstsein helfen sicher auch %User . dafür müssen man nicht Kuchen backen mit die Kanzlerin ....
neutral	sein Liebe zu Film &amp; Fiktion lassen Benny aus rein Neugierde töten : %User zeigen heute MichaelHaneke ' s Psychodrama Ben ...
negative	go schleeeep
neutral	wir layouten nun zu zweit - bei Zeitdruck müssen cheffe auch ran - und zeihen|ziehen wir jetzt Motörhead oder Maiden rein outofhomemagazin
neutral	Beurer KS @card@ digital Küchenwaage aus Edelstahl - Normalpreis : @card@ Euro iBOOD Prei ...
neutral	nicht schlafen können . Twitter auf . NTLBoobs Twitter zu . Weltbild in Ordnung . gut Nacht !
neutral	wo die Liebe hinfallen stürzen auch wir !
positive	joa die sehen auf die Foto zumindest echt nice aus . werden ich dann bei Zeit mal eine Holo zulegen %PosSmiley
neutral	Hazard / Gefahr : AKW Fukushima : radioaktiv belastet Wasser fließen tonnenweise in Meer %Link via %User
positive	sehr schick die %PosSmiley
neutral	Browser - Spiel gratis Battlestar Galactica Space - Game %Link einfach ausprobieren Weltraum Battlestar Galactica
neutral	keine USB - IDs für Open Source ?
negative	Fucking Windows 8 machen ich aggressiv !
neutral	%Link geil Frau wollen privat Seitensprung Kontakt ofi
neutral	Polizist werden zunehmend mit Laser attackieren . nun fordern ihr Verband eine Waffenschein für stark Laser ....
neutral	Einspruch ! rhetorisch Frage !
neutral	Rosa hart Rückseite ...
neutral	"@card@ . @card@ @card@ Uhr : aktuell : Fahrbahn trocken * klar Sicht * rege / 24h +0,0 mm * Trend : wolkig bis Niederschlag * ohne Gewähr"
neutral	 wir müssen ab 1. September ziemlich radikal sparen  : Sonntagszeitung streichen Rubrik %Link / via %User ...
negative	ich wollen einfach tot sein
neutral	ich reiten ja überhaupt nicht auf eine hoch Rose es . ich reiten höchstens auf mein klein Pinguin .
neutral	Demokratie und Meinungsfreiheit : %Link via %User
negative	toll Gefühl nur verletzen zu werden %NegSmiley
neutral	Samsung 300 E7A S08 Serie 3 NP300E7A - S08DE 17 zollen 6 MON Garantie : Elmshorn | Neue schön Super Samsung - Not ...
neutral	Azzlacks Sterben Jung '
neutral	"Weisheit die Tag : wer gut schminken , brauchen weniger Schlaf"
negative	( die Bandlogo von ATL was einfach abartig verscheißen werden und n Herzschlag von mein Papi %PosSmiley
positive	haben ich sehr freuen %PosSmiley3 ihr sein die gut !
neutral	"endlich hod er ' s ummi , tatto done aber aufs Geräusch von dera Nadel kumi nuimmer nd klar ✌️"
neutral	"keine Pumpe|Pumpen in Tiefbhf ? liegen bei Hochwasser Tiefbhf unter Neckarpegel , so dass Abflussrohr nichts bringen werden ? S21"
neutral	Lieb Georg . die kurz Leben die Georg B�chner / die unbedingt Veranstaltung
neutral	"Photo : ausgerechnet Griechenland . ausgerechnet die "" grün Bank Deutschland "" / KfW wollen unrentabel ..."
positive	"finden Kyle aus Wrong turnen 4 immer noch schön as hell , er sollen ich heiraten ."
neutral	21 %PosSmiley . @card@ : Kampf gegen Fracking erreichen England ( %Link
negative	"einmal die , obendrein sollen bei solche verbal Attacke sollen hater mehr Gegenwind bekommen ."
neutral	Forex Börse CFDs DAX : gut Unternehmenszahl geben Auftrieb ! : nach eine schwach erst Wochenhä ... %Link Aktie
positive	gut of black ! wunderschön ! %Link
neutral	Wolfsberg - die regional werben - Plattform für Unternehmer Error
neutral	Link 42. KW : was zählen eine Eingescannte Rechnung vor eine fiktiv Gericht ? Seminar : Beratungsqaulität sichtbar ...
neutral	was dann dort wieder zu eine explosionsartig Anstieg führen . Langenzersdorf sollen jetzt schon sehr teuer sein .
positive	Schlaf ' gut . * Käthosch . exe beend *
neutral	Jamie und Freundin - jetzt sehen : Jamie haben sich von ihr Freundin fesseln lassen . und die nutzen die natürlich ...
neutral	Bungalow Alicia auf Teneriffa Ferienwohnung kostenlos Kleinanzeige Deutschland : neben die Naturschutzg ...
neutral	"Papa Schlumpf bestätigen Entfernung zu magisch Wasserfall "" nicht mehr weit . "" %Link SmurfsVillage %User"
neutral	mao sini
negative	entsetzlich
neutral	Vereinigung Cockpit : Lufthansa kündigen Versorgung es - Tarifvertrag
negative	die Szene mit Alistair mögen ich nie ! die finden ich
neutral	Hannover / Region : Siloah - Bau werden deutlich teuer
neutral	"Aus "" die Dicke "" werden "" die Kanzlei "" ! Drehstart für sechs neu Folge ab 29. Oktober . PrDasErste"
positive	bisher beschränkt Meme - Potenzial %Link %User
positive	"er sein genau die , die ich immer wollen . und eigtl wünschen ich , ich haben er nie kennenlernen , denn niemand werden so perfekt sein wie er ."
neutral	Kind Sitzgruppe Sitzgruppe Kleinanzeige Kleinanzeige kostenlos aufgeben Kleinanzeige verkaufen
negative	"Nein , warum ? DStephan"
positive	"Hallo , wie sein ' s bei REWE heute an 1 . Tag danach ? ? %PosSmiley %User"
neutral	Entertainment ohen Ende und die auch noch kostenlos !
negative	haben es eben auch bemerkt. so eine shit. was sein wieder bestimmt dreckssport .
neutral	gut Tip für Publishers in die Gaming - Industry : Dont Trick your customers and dont talk bullshit. rsp13
neutral	"MDR , heute bis Donnerstag , jeweils @card@ . mehr unter Suchbegriff MDR Völkerschlacht"
positive	%User kommen ich merkwürdig bekannt vor %PosSmiley
positive	"ach so , geschickt machen %PosSmiley schön Feierabend !"
positive	"Dank , ich geben ich Mühe . %PosSmiley"
positive	"+1 Hmm , müssen noch Pfand wegbringen und einkaufen . Problem : die Lust dazu fehlen %PosSmiley"
neutral	Achtung wichtig
neutral	"Internet nichts real life sein , in real life wir nur unser Freund und Familie richtig kennen tun . %PosSmiley"
neutral	"Hammer auf Scheibe , hoppla sagen , weggehen , vodka pur saufen , Koma fallen , schlafen , nie wieder aufwachen"
negative	"@ord@ Min schade , Kadirs schnell ausgeführter Freistoß streifen vorbei"
neutral	die KUMON - Lerncenter in Baden - Baden - Zentrum haben letzt Monat hoch Besuch aus Japan %Link Kumon Bildung ...
positive	Sonne genießen . . endlich man !
neutral	"was sein die letzt gut Film , die du sehen haben ? - Sonic The Hedgehog The Movie OMV : 3 geilster sonic filmen Eve ..."
neutral	"Ernährungsregeln : klein Aufwand , groß Wirkung"
negative	* hate
positive	DIVERSITY kommen endlich ! wir freuen wir ... that ' s great ♫
negative	"Wehe , ihr schalten %User nicht pünktlich auf !"
neutral	"I'm at gut Morgen aus die K21 - Zentrale ( Stuttgart , Deutschland )"
positive	i'm not even sorry ! ich sein oft so glauben ich . + anflausch + solange es lustig sein ! und es erheitern .. %PosSmiley
neutral	"AUT Wiener Türkenschanzpark werden 125 Jahr alt : einst haben sich hier die Türke verschanzen , nun erholen sich ..."
neutral	Netzwerk für Taxifahrer ... %Link News pushtotalk maptalk
neutral	"News : *** BILDplus Inhalt *** Knochen , Hieroglyphe , Bandage - Bild erklären die Mumie von Dachboden %Link Nachricht"
neutral	PM : Standesamt geschlossen
positive	"danken ! ツ finden ich aber trotzdem nicht schön genug , hahah"
negative	"Ick hoffen mein Akku halten bis ick wieder zu Haus sein . Ick hassen Bus fahren ohne Musik . Berliner Schnauze können ick wohl nicht so jut . %PosSmiley """
neutral	alle unter eine Dach : innovativ Energiesparpaket neu an Markt %Link apa ots bieten
negative	und ich beleidigen ich gerne selber c :
negative	"sam , ich weinen leise"
neutral	"Gert Jan Verbeek zu %User . Überraschung für ich . hart , fair Trainer die sein Linie treu bleiben . Pokalsieger mit Alkmaar !"
positive	"klingen gut ! ich müssen ab Oktober zügig eine Job finden , dann klappen die %PosSmiley"
neutral	Bahngleis werden erneuern .
neutral	neu : Neuss : Böller erschrecken Anwohner
negative	keine gut Nachricht .
negative	"dann VERSCHLIEss halt die Auge vor die Wahrheit , PFF %PosSmiley"
positive	schämen du einfach %NegSmiley
neutral	"Burnout , falsch verstanden Depression Patientenkongress1 . 9 Leipzig Stiftung Dt Depressionshilfe m. Harald Schmidt"
positive	Hannah your suchen a nice person
neutral	DE - Newsblog : Gesetzesnovelle : mehr Schutz für Kind : Gesetzesnovelle : mehr Schutz für KinderHäusliche Gewalt sein ...
neutral	statisch Beurteilung historisch Tragwerke
positive	50 wertvoll Gedanke ine eine Spiel verpacken . Stephen R. Covey sein einfach brilliant
positive	"Dank , lieb Dieter ! was machen dein Gebein ?"
neutral	"Gutschein "" Toys "" R "" U "" : schenken ! Switch &amp; go Stygimoloch in Wert von @card@ Euro / @card@ SFr. bei Kauf eine Swi ..."
neutral	"Europa League wie die NFL spielen lassen ? 32 Team , x Woche plus Playoffs ??"
neutral	%User bleiben die fragen ob die nun gut oder schlecht sein ?
neutral	19 TFT LCD Monitor : Markdorf ( Baden ) | gebraucht TFT 19 quot ; Bildschirm. funktionieren . wegen geändert PC ...
neutral	Siegmar Gabriel wollen Hausaufgabe abschaffen
positive	hm ... da haben du allerdings auch wieder recht %PosSmiley %User
neutral	englisch Premier League - Negredo erlösen Manchester City gegen Aufsteiger
neutral	aktuell verraten wir jede Tag eine davon ... bitten hier entlang ... %Link
neutral	Freund finden Altenburg
negative	lächerlich
neutral	"eine wirklich imposant Baustelle , die wir hoffentlich bis zu Ende die Jahrzehnt die Weg "" nach unten "" ..."
neutral	tipico soccer ( tipico de news ): Hannover : mit Strafe nicht einverstanden
neutral	DirectGroup Germany ordnen Geschäftsführung neu : Bernd Schröder scheiden aus
neutral	"[ M - Business ] nicht mobil AG machen trotz Umsatzplus Verlust , Vodafone einigen sich über 130 Mrd Dollar - Deal mit Verizon ."
positive	Morgen endlich wieder mein Geliebte serc - Pulli aus die Schrank holen !
neutral	Seitensprung One Night Stand oder die Fremdgehen ?
neutral	Bericht : deutsch Telekom werten Verbindungsdatum sämtliche Telefonat aus ::
neutral	"la langü pour la langü , denn wo kommen wir hin , wenn Sprache mehr sein und können ."
neutral	essentiell Thrombozythämie
negative	sein auch ziemlich kaputt . müssen du heute lang machen weil noch eine Besprechung sein . echt blöd %NegSmiley
neutral	"warum Clementinchen , Herr Kaiser und Meister proper in <UNKNOWN> Media nicht funktionieren"
negative	schlecht Argument . du sein auch in Vorstand . außerdem : haben du auch ans LSG wenden können .
neutral	YouTube wollen die Zahl die Videoposts erhöhen und zeigen nun an Ende jede Video eine Share - Button %Link socialmedia
neutral	was singen die tschechisch Fan immer bei Fußball ? weißen die jem in Original ? SkyCL Pilsen fcbfcvp enden mit hop hop hop
neutral	"interessant Interview mit Psychologin Melanie Joy "" die Karnismus zwingen wir , gegen unser Grundwert zu handeln . """
neutral	die Sendung mit Merkel müssen Maischberger live senden . zwischen Aufzeichnung &amp; Übertragung können ihr Position hinfällig ...
neutral	"IFA negativ Highlight : Bootloop mein HTC Ones , nachdem ich bei Samsung ( die sein wohl die Fehler ) in die MoDaCo GPE wechseln wollen ..."
neutral	mit Betty La Fea und El Gordo fehlen die natürlich zwei Schlüsselspieler ...
neutral	Behördenstress - News : gezielt Diffamierung ?
positive	"86 lachen , , heheheheheee , , ,"
neutral	" mittelmäßig Geist verurteilen gewöhnlich alle , was über ihr Horizont gehen .  Francois Duc de La Rochefoucauld"
negative	sehen etwas unterwältigend aus %NegSmiley schade .
neutral	Pol - REK : Jugendliche berauben / Pulheim
neutral	"Ella edel dreibandiger Ring besetzen mit SWAROWSKI Element ; 18 kt Gelbvergoldung und hochglanzpoliert Gr 18 20 , - Euro"
positive	Foto : grunge - never - dies :
neutral	ich brauchen neu Gedanke . mein sein schmutzig .
positive	Kuscheln in Frost sein jetzt genau die richtig %PosSmiley
neutral	historisch Quote ! ProSieben feiern stark September - und die kurz Abstand sein Geschichte
neutral	ICE786 MünchenHbf : halt entfallen %Link | ICE881 HamburgHbf : verspätet Bereitstellung
positive	pärchenabend
negative	Syrien W. Dietrich beschreiben die worst case ' unser Generation werden keine Frieden mehr sehen ' : %Link v ...
negative	"ich mögen keine Knoppas -,- %User"
positive	"Sie müssen vor alle nicht , wie viele Selbständige , bis zu gehen nicht mehr arbeiten . %PosSmiley"
negative	"Ja , leider ohne Ton ... immer wenn es spannend werden fahren Auto vorbei ..."
neutral	warum nicht ?
neutral	"keine Überraschung : militant Impfgegner Tolzin glauben an Channelings v "" Wesenheit "" &amp; alle möglich andere Kram h ..."
neutral	umm
neutral	"Bundesliga : "" einfach nicht unser Tag """
neutral	"Debbie’s Look : all Black Everything : auch wenn Schwarz nicht unbedingt dafür bekennen sein , die ..."
neutral	%User können du er nicht einfach betrunken eine SMS schreiben mit divers Beleidigung ?
neutral	Ja . an Erfahrung .
neutral	was ? ich brauchen halt etwas Erholung .
negative	"keine Ahnung , Nacht !"
neutral	Le Marquise Modell LM - D38 Westerngitarre : Mering | sehr schön gut klingend Westerngitarre aus die Haus Le Mal ...
positive	haben Lust an WE nach Rom zu fahren. er fahren mit ? : PopeFrancis - - join us as we pray and fast for peace ( full Text )
negative	"aber jetzt kommen da sogar Heino schon hin . Heino , auf eine Metal - Festival . da leck ich doch eine die Hoden . gehen die Bach runter . LT"
neutral	"leider nützen du sachlichkeit nur bedingt was , wenn die andere Person dringend unsachlich sein wollen ."
neutral	"I posted 13 Photo on Facebook in the Album "" Urlaubsgruß aus die Berg|Bergen """
positive	alle Beleidigung sein für die klein Alex unzutreffend ! * inpenispanikgerat * X )
neutral	gut Morgen Pott ! @card@ h aufm Dach von Rathaus Essen . was man sonntags halt so machen ... drehenfürNovember wdr ...
neutral	gefragt Produkt : Gardena Combisystem @card@ Gartensäge biegen : Gartensäge ...
neutral	"ihr suchen die perfekt Film für eine romantisch Filmabend ? hier unser Tip : "" Bodyguard "" mit die fantastisch ..."
positive	in Eulenkontor bekommen Sie immer die fast fair Preis die Tag !
negative	"na toll , jetzt wollen ich eine PS4 . oo GCPressekonferenz"
neutral	Schutzverglasungen zu Schutz vor mechanisch Beschädigung %Link glastechnik Glasmalerei
negative	"toll Vorbild , Herr Landtagsabgeordnete aus RLP cc %User"
neutral	Nike Air Force ganz neu ! : Dortmund | leider sein ich die Schuh zu groß nicht einmal getragen mit Rechnung neu ...
neutral	"Chemnitz , Neefestrasse Ri . Grüna aus eine silbergrau Caddy ( Dank , Kay ! ) / rs"
neutral	New video : die Monster schlagen zu %Link absolut auch die
negative	gehen da nicht manche Perle die menschlich Geist verschütten ?
negative	drei Kleiderschrank voll nichts zu Anziehen .
neutral	Bogner Brillenetui Etui original neu unbenutzt für Brille Brillentasche Futeral : EUR @card@ ( 3 Gebot ) Enddatum : ...
neutral	"Korrektur : Ausfall die S7 ab Wannsee ( @card@ Uhr ): Zug fahren seit Charlottenburg ( @card@ Uhr ) nach Ahrensfeld , an @card@ Uhr , gut Fahrt ."
neutral	"Kleinanzeige Dirndl kaum tragen , GröÃe @card@ ( Augsburg ): Kleinanzeige : Dirndl kaum ..."
positive	wir empfehlen die %Link bei Amazon - Fight ! %PosSmiley %Link
neutral	" Schnüffeln - nein Dank !  : Kommentar von %User bei %User zu Verfassungsgerichtsurteil , %Link link"
neutral	Bauarbeit sein abgeschlossen Inbetriebnahme die neu Bahnsteig Schienenersatzverkehr werden eingestellt ab ...
neutral	"was nun , Herr Veh - wo gehen ' s lang ? Eintracht SGE"
positive	"Mensch aus 3 Fanlagern , vereinen in ihr Hohn über Schalk 04! %PosSmiley"
neutral	"Änerung Pater Johannes Paul , die bisher dies facebook - Seite machen haben , bekommen eine neu Aufgabe : er werden ab ... Http : ..."
negative	sein an eine Stand die fdp auf eine leer Platz vorbei laufen werden nicht ansprechen = &gt; sehen wohl nicht nach die gehaltsprofil aus
neutral	"Mal kurz bei eine andere Veranstaltung mitlesen %PosSmiley "" die neu Kiss ! Keep it significant &amp; shareable. smartcontentday """
neutral	Baby - Schale Baby - Schale - Kleinanzeige Baby - Schale - Preisvergleich Kleinanzeige - kostenlos - aufgeben verkaufen
negative	"bon appetit ... %PosSmiley sein Unterhemd sehen auch aus , als ob er eben essen haben und alle auf die Unterhemd verteilen haben %PosSmiley"
neutral	 Robo - Taxi  : Google wollen angeblich eigen Auto entwickeln : Google wollen angeblich ein aus ... %Link Schnipselnachrichten
neutral	RT FB Kommentar : Brite - Geheimdienst machen sich lächerlich : mit sein bizarr Aktion gegen die ... %Link %User
neutral	Zeitung : Limburger Bischof nicht zu Amtsverzicht bereit %Link DeutscheWelle
neutral	"Heinz ? Peters ? König Rechtsanwalt aus @card@ Herne , Eschstrasse 15 in NRW"
neutral	die neu Mega <UNKNOWN> Network Sharing Community ! jetzt schon weit aus mehr Member als Facebook &amp; Twitter zusammen !
positive	Too much dessert ! hehe
neutral	"DE - Newsblog : Quarteera : olympisch Spiel nicht boykottieren , sondern nutzen : Quarteera : olympisch Spiel nicht ..."
neutral	Mal wieder eine Bild frisch aus die myff2 Entwicklungsabteilung
positive	Just be grateful you ' re not Miley Cyrus
negative	von die werden ich immer schlecht .
neutral	"Haben Sie schon mal englisch Zahn sehen ? "" so , so : in Deutschland zu Zahnarzt gehen . in UK keine gut Idee ? """
positive	HeidiKlumbittegrüsseOneDirectionvondeutschenDirectionern %PosSmiley %PosSmiley33333
negative	partnerschafte funktionieret nöd wellen d'mensche scheißen sein
positive	 Homophobie ? Wegknutschen !  genial %User
positive	ich haben gerne mal eine neu Version %PosSmiley
neutral	Samu Haber suchen bei voiceofgermany eine ganz neu Typ Popstar %Link finnland SunriseAvenue
neutral	aghh echt laufen loveee
positive	%Link .. daniel schuhmacher diversity Hörprobe gold !
neutral	Katie Price : schwanger Model nach Beschwerde in Klinik einliefern : groß Sorge um Katie Price und ihr ung ...
neutral	groß Panne bei tvduell . die Telefonnummer können nicht einblenden werden . Skandal .
neutral	können bitte jemand vorbei kommen und ich einfach nur festhalten ! bitte !
neutral	"%PosSmiley Mittagspause %PosSmiley %Link "" Wissen , was los sein in bayrisch Oberland """
neutral	solid @card@ on my midterm illtakeit NASM CPT personaltrainer gettingit 3 weeksleft
neutral	Photoset : art - and - fury : Perhaps She’ll die - Jeremy Hush ( more )
neutral	"6. Luxtra Spezialität : Angriff Attacke : Eisenschweif , Biss , Donnerzahn , Funkensprung"
neutral	"esra : Robert Kurz über "" solidarisch Ökonomie "" ( 6 Kommentar )"
neutral	SharePictChibi MNCKonserMerdekaRakyat %User %Link
neutral	abendlich Ruhestörung
neutral	News 2 neu Ergebnis für prism Tor : hoch Nachfrage nach anonym Internetzugang seit PRISM ... Softonic DE seit ...
positive	Hand es up Mix Vol . 6 August @card@ : mögen ihr mein neu Hand es up Mix vorstellen . freuen ich auf euer Feedback ...
neutral	Tip an die Menschheit : trinken nie nach 21 uhr cola
neutral	endlich mal eine hübsch Frau die auch noch Autofahren können %Link rtl
neutral	unterdrückt
neutral	Liebe eine kalt red Bull mit eine Eis an die Sonne .
positive	"ich glauben , dass er eigentlich keine blass Schimmer haben , was er eigentlich wollen %PosSmiley"
negative	CDU / CSU = Stillstand CDU / CSU + AFD = Rückschritt nahe zu in mittelalt
positive	New Favourite : Human After alle von Daft Punk %Link %User
positive	du gehen bei Regen gerne spazieren ? That ' s weird %NegSmiley
negative	gesamt Ordner plus Hausarbeit einfach bei Rewe liegenlassen . Fuck !
positive	"ok , %PosSmiley xx echt dreist ."
neutral	Südtiroler Landtagswahl ltw13 : Macht Heimat Angst ? %Link st1 ...
neutral	intersnack : Chio Mikrowelle Popcorn Karamel - Geschmack - neu Sorte für die ..
neutral	"Herz an , Twitter aus ."
neutral	ich haben eine %User-Video von %User positiv bewerten : %Link Just Give Me A Reason - pink ft. Nate Rüss -
positive	"für alle sportlich Nazi die sich keine Thor Steinar Schuh leisten können , haben Tchibo jetzt was toll :"
neutral	"schon wissen : @card@ haben die Comfort Complete Friends L Paket , bei die ihr 24x 10 , - Euro sparen können ... und wir ..."
negative	"sein dann wohl halt nicht mehr sein Nummer Eins , naja egal ."
neutral	Talsohle erreichen . Laufschuh kaufen. reminder laufen run
negative	Riese Aus. mist. aktion. daaruumkleiderschrank Flohmarkt klamotten alt neu
neutral	United Nation es wollen gemeinsam Frühwarnsystem für Whatsapp Störung aufbauen .
neutral	neu in Blog : Bundesregierung erkennen bereits @card@ Problem bei Safe Harbor %Link safeharbor prism date ...
neutral	"die günstig Börsenpreise von heute schlagen erst @card@ auf Verbraucher durch , was heute liefern werden werden 12 kaufen !"
neutral	Tagesvorschau : was Dienstag wichtig werden
neutral	ganz schön windig heute. herb sturm leipzig wettern Weather in Zschortau via instaweather
neutral	N @card@ Verstoring Enschede - Deventer ( defecte trein ) Info :
neutral	"demdemokratischen Prozess die NEOS nicht rechen . soweit bekannt , sein auch die ..."
neutral	"21 %PosSmiley . @card@ Vollmond @card@ MESZ , Fisch , Feuchtigkeitstag : Gewichtskontrolle , Fitnesstraining , kurz Luft|Lüften , Bügel|Bügeln ,"
positive	ich freuen ich jetzt gehen es dann bald los . 19 uhr Beginn %PosSmiley %Link
positive	Heinrich Schmidtgal werden bereits erfolgreich operieren und schicken erst du Gruß aus die Krankenbett : %Link f95
neutral	und natürlich gangster of love .
neutral	die DJ für ihr Feier ! : Stemwede | ob Hochzeit Geburtstag oder Firmenfeier hier finden Sie die richtig Ans ...
negative	halt schlampe du können keine deutsch süß %PosSmiley %PosSmiley %User
neutral	Holland - Facts : Tanzen wie Mata Hari ... die exotisch Tänzerin und Spionin Mata Hari stammen aus die Niederlande .
negative	belästigen und filmen auf die gamescom ? : %Link Animexx Weblog
neutral	oddset news : umstritten Ticketbörse : DFB erwägen rechtlich Schritt gegen Viagogo
neutral	und die Musi spuilt dazu . ._. die Fussgängerzone sein heute fest in die Hand die politisch Partei ...
positive	Jetzt gucken ich dazu auch noch die Organizing - Video ... %PosSmiley hi %PosSmiley ich sein schwer beeindrucken ! so viele Platz müssen man haben !
positive	Me &amp; My Fluff Monster ! shihtzu livinlife loveher
neutral	Helene Fischer - fehlerfrei ( aus die kommend Album Farbenspiel )
negative	"Tja ... aber keine die Herr Döring , Brüderle oder Rösler kommen mal auf die Idee , mal die Genscher um Rat zu fragen ... FDP"
neutral	Video : die Killer Katze ( Scary Movie 2) %Link Katze Killer lustig ScaryMovie2 Video
neutral	nicht über die Dreh informieren : Juso und Grüne Jugend müssen Wahlspot ändern - Focus Online : nicht über die D ...
neutral	%Link spielen ich haben ' dein Träne|Tränen nicht verdienen von Roland Kaiser. nowplaying Schlager listenlive
neutral	Feierei . Kotzerei . Fickerei .
positive	"ich haben mein normal Sim von Aldi Talk in Nano Sim stanzen , laufen alle super !"
negative	die deutsch Dialog sein so viel schlecht ! underthedome
neutral	I'm not a glitter gurl . At all .
